Cr2+,Sc3+,Li+
Cr2+,Sc3+,Na+
Cr2+,Sc3+,K+
Cr2+,Sc3+,Rb+
Cr2+,Sc3+,Cs+
Cr2+,Y3+,Li+
Cr2+,Y3+,Na+
Cr2+,Y3+,K+
Cr2+,Y3+,Rb+
Cr2+,Y3+,Cs+
Cr2+,Ti3+,Li+
Cr2+,Ti3+,Na+
Cr2+,Ti3+,K+
Cr2+,Ti3+,Rb+
Cr2+,Ti3+,Cs+
Cr2+,V3+,Li+
Cr2+,V3+,Na+
Cr2+,V3+,K+
Cr2+,V3+,Rb+
Cr2+,V3+,Cs+
Cr2+,Cr3+,Li+
Cr2+,Cr3+,Na+
Cr2+,Cr3+,K+
Cr2+,Cr3+,Rb+
Cr2+,Cr3+,Cs+
Cr2+,Mo3+,Li+
Cr2+,Mo3+,Na+
Cr2+,Mo3+,K+
Cr2+,Mo3+,Rb+
Cr2+,Mo3+,Cs+
Cr2+,Fe3+,Li+
Cr2+,Fe3+,Na+
Cr2+,Fe3+,K+
Cr2+,Fe3+,Rb+
Cr2+,Fe3+,Cs+
Cr2+,Rh3+,Li+
Cr2+,Rh3+,Na+
Cr2+,Rh3+,K+
Cr2+,Rh3+,Rb+
Cr2+,Rh3+,Cs+
Cr2+,Ni3+,Li+
Cr2+,Ni3+,Na+
Cr2+,Ni3+,K+
Cr2+,Ni3+,Rb+
Cr2+,Ni3+,Cs+
Cr2+,Pd3+,Li+
Cr2+,Pd3+,Na+
Cr2+,Pd3+,K+
Cr2+,Pd3+,Rb+
Cr2+,Pd3+,Cs+
Cr2+,Cu3+,Li+
Cr2+,Cu3+,Na+
Cr2+,Cu3+,K+
Cr2+,Cu3+,Rb+
Cr2+,Cu3+,Cs+
Cr2+,Ag3+,Li+
Cr2+,Ag3+,Na+
Cr2+,Ag3+,K+
Cr2+,Ag3+,Rb+
Cr2+,Ag3+,Cs+
Cr2+,Au3+,Li+
Cr2+,Au3+,Na+
Cr2+,Au3+,K+
Cr2+,Au3+,Rb+
Cr2+,Au3+,Cs+
Cr2+,Tl3+,Li+
Cr2+,Tl3+,Na+
Cr2+,Tl3+,K+
Cr2+,Tl3+,Rb+
Cr2+,Tl3+,Cs+
Cr2+,Al3+,Li+
Cr2+,Al3+,Na+
Cr2+,Al3+,K+
Cr2+,Al3+,Rb+
Cr2+,Al3+,Cs+
Cr2+,Ga3+,Li+
Cr2+,Ga3+,Na+
Cr2+,Ga3+,K+
Cr2+,Ga3+,Rb+
Cr2+,Ga3+,Cs+
Cr2+,In3+,Li+
Cr2+,In3+,Na+
Cr2+,In3+,K+
Cr2+,In3+,Rb+
Cr2+,In3+,Cs+
Cr2+,Sb3+,Li+
Cr2+,Sb3+,Na+
Cr2+,Sb3+,K+
Cr2+,Sb3+,Rb+
Cr2+,Sb3+,Cs+
Cr2+,Bi3+,Li+
Cr2+,Bi3+,Na+
Cr2+,Bi3+,K+
Cr2+,Bi3+,Rb+
Cr2+,Bi3+,Cs+
Cr2+,Sc3+,Ag+
Cr2+,Sc3+,Au+
Cr2+,Sc3+,Tl+
Cr2+,Sc3+,Li+
Cr2+,Sc3+,N+
Cr2+,Sc3+,K+
Cr2+,Sc3+,Rb+
Cr2+,Sc3+,Cs+
Cr2+,Y3+,Ag+
Cr2+,Y3+,Au+
Cr2+,Y3+,Tl+
Cr2+,Y3+,Li+
Cr2+,Y3+,N+
Cr2+,Y3+,K+
Cr2+,Y3+,Rb+
Cr2+,Y3+,Cs+
Cr2+,Ti3+,Ag+
Cr2+,Ti3+,Au+
Cr2+,Ti3+,Tl+
Cr2+,Ti3+,Li+
Cr2+,Ti3+,N+
Cr2+,Ti3+,K+
Cr2+,Ti3+,Rb+
Cr2+,Ti3+,Cs+
Cr2+,V3+,Ag+
Cr2+,V3+,Au+
Cr2+,V3+,Tl+
Cr2+,V3+,Li+
Cr2+,V3+,N+
Cr2+,V3+,K+
Cr2+,V3+,Rb+
Cr2+,V3+,Cs+
Cr2+,Cr3+,Ag+
Cr2+,Cr3+,Au+
Cr2+,Cr3+,Tl+
Cr2+,Cr3+,Li+
Cr2+,Cr3+,N+
Cr2+,Cr3+,K+
Cr2+,Cr3+,Rb+
Cr2+,Cr3+,Cs+
Cr2+,Mo3+,Ag+
Cr2+,Mo3+,Au+
Cr2+,Mo3+,Tl+
Cr2+,Mo3+,Li+
Cr2+,Mo3+,N+
Cr2+,Mo3+,K+
Cr2+,Mo3+,Rb+
Cr2+,Mo3+,Cs+
Cr2+,Fe3+,Ag+
Cr2+,Fe3+,Au+
Cr2+,Fe3+,Tl+
Cr2+,Fe3+,Li+
Cr2+,Fe3+,N+
Cr2+,Fe3+,K+
Cr2+,Fe3+,Rb+
Cr2+,Fe3+,Cs+
Cr2+,Rh3+,Ag+
Cr2+,Rh3+,Au+
Cr2+,Rh3+,Tl+
Cr2+,Rh3+,Li+
Cr2+,Rh3+,N+
Cr2+,Rh3+,K+
Cr2+,Rh3+,Rb+
Cr2+,Rh3+,Cs+
Cr2+,Ni3+,Ag+
Cr2+,Ni3+,Au+
Cr2+,Ni3+,Tl+
Cr2+,Ni3+,Li+
Cr2+,Ni3+,N+
Cr2+,Ni3+,K+
Cr2+,Ni3+,Rb+
Cr2+,Ni3+,Cs+
Cr2+,Pd3+,Ag+
Cr2+,Pd3+,Au+
Cr2+,Pd3+,Tl+
Cr2+,Pd3+,Li+
Cr2+,Pd3+,N+
Cr2+,Pd3+,K+
Cr2+,Pd3+,Rb+
Cr2+,Pd3+,Cs+
Cr2+,Cu3+,Ag+
Cr2+,Cu3+,Au+
Cr2+,Cu3+,Tl+
Cr2+,Cu3+,Li+
Cr2+,Cu3+,N+
Cr2+,Cu3+,K+
Cr2+,Cu3+,Rb+
Cr2+,Cu3+,Cs+
Cr2+,Ag3+,Ag+
Cr2+,Ag3+,Au+
Cr2+,Ag3+,Tl+
Cr2+,Ag3+,Li+
Cr2+,Ag3+,N+
Cr2+,Ag3+,K+
Cr2+,Ag3+,Rb+
Cr2+,Ag3+,Cs+
Cr2+,Au3+,Ag+
Cr2+,Au3+,Au+
Cr2+,Au3+,Tl+
Cr2+,Au3+,Li+
Cr2+,Au3+,N+
Cr2+,Au3+,K+
Cr2+,Au3+,Rb+
Cr2+,Au3+,Cs+
Cr2+,Tl3+,Ag+
Cr2+,Tl3+,Au+
Cr2+,Tl3+,Tl+
Cr2+,Tl3+,Li+
Cr2+,Tl3+,N+
Cr2+,Tl3+,K+
Cr2+,Tl3+,Rb+
Cr2+,Tl3+,Cs+
Cr2+,Al3+,Ag+
Cr2+,Al3+,Au+
Cr2+,Al3+,Tl+
Cr2+,Al3+,Li+
Cr2+,Al3+,N+
Cr2+,Al3+,K+
Cr2+,Al3+,Rb+
Cr2+,Al3+,Cs+
Cr2+,Ga3+,Ag+
Cr2+,Ga3+,Au+
Cr2+,Ga3+,Tl+
Cr2+,Ga3+,Li+
Cr2+,Ga3+,N+
Cr2+,Ga3+,K+
Cr2+,Ga3+,Rb+
Cr2+,Ga3+,Cs+
Cr2+,In3+,Ag+
Cr2+,In3+,Au+
Cr2+,In3+,Tl+
Cr2+,In3+,Li+
Cr2+,In3+,N+
Cr2+,In3+,K+
Cr2+,In3+,Rb+
Cr2+,In3+,Cs+
Cr2+,Sb3+,Ag+
Cr2+,Sb3+,Au+
Cr2+,Sb3+,Tl+
Cr2+,Sb3+,Li+
Cr2+,Sb3+,N+
Cr2+,Sb3+,K+
Cr2+,Sb3+,Rb+
Cr2+,Sb3+,Cs+
Cr2+,Bi3+,Ag+
Cr2+,Bi3+,Au+
Cr2+,Bi3+,Tl+
Cr2+,Bi3+,Li+
Cr2+,Bi3+,N+
Cr2+,Bi3+,K+
Cr2+,Bi3+,Rb+
Cr2+,Bi3+,Cs+
Cr2+,Pd2+,Pd2+
Cr2+,Pd2+,Hg2+
Cr2+,Hg2+,Pd2+
Cr2+,Hg2+,Hg2+
Cr2+,Ti4+,vacancy
Cr2+,Zr4+,vacancy
Cr2+,Hf4+,vacancy
Cr2+,V4+,vacancy
Cr2+,Nb4+,vacancy
Cr2+,Ta4+,vacancy
Cr2+,W4+,vacancy
Cr2+,Mn4+,vacancy
Cr2+,Tc4+,vacancy
Cr2+,Ru4+,vacancy
Cr2+,Os4+,vacancy
Cr2+,Co4+,vacancy
Cr2+,Ir4+,vacancy
Cr2+,Ni4+,vacancy
Cr2+,Pd4+,vacancy
Cr2+,Pt4+,vacancy
Cr2+,Si4+,vacancy
Cr2+,Ge4+,vacancy
Cr2+,Sn4+,vacancy
Cr2+,Pb4+,vacancy
Cr2+,Se4+,vacancy
Cr2+,Te4+,vacancy
Cr2+,Po4+,vacancy
Cr2+,Re4+,vacancy
Cr2+,W4+,vacancy
